mean_x,mean_y,mean_z,std_x,std_y,std_z,Activity
-1.8749757408037384,2.1455457855140185,7.951838345981309,1.2110102913456127,2.4756394918894586,3.254353537771017,no_hand_wash
-7.59470987216981,-5.5788471596415095,3.216521573295283,3.9903379126538363,5.429279654351887,4.128704832723196,no_hand_wash
-9.449967594635513,-2.0674809740186912,1.7882454488785047,5.4348258353353565,1.2534132737877601,1.8098019690449156,no_hand_wash
-9.209311454953273,-0.7205102100280376,2.316641437700935,5.510384684594579,1.8608536715005195,1.8305962069537483,no_hand_wash
-9.351920642211537,0.21850427137500003,2.5499280317115383,5.576273260321519,1.4710045151335136,1.1488173233546994,no_hand_wash
-9.090334617603773,-0.5354551229839623,2.8395702283018864,3.8808386156796497,0.6574287129875588,1.1466359506651707,no_hand_wash
-9.00314266224299,-0.5864035385607477,2.5628118150467283,2.94976095980221,0.7464605556117527,1.5282508408956246,no_hand_wash
-9.448476525233644,-0.12503246974579438,2.500841919158878,2.3026117633749155,0.6184726813471554,0.7812867198844882,no_hand_wash
-9.076730160792453,-0.18974456717924534,2.8510641808490567,2.308939524516692,1.0774247366972372,1.2100576278385131,no_hand_wash
-7.515686948317757,-0.8534225514457943,5.63893884588785,3.5897544940553474,0.8809696642911667,2.1000384718107004,no_hand_wash
-7.93944216457944,-2.5167527093271027,2.3952991342990657,4.430521104848293,1.8749623517273644,2.488764419815784,no_hand_wash
-9.163091920092592,-1.9179020572314815,1.0010726400833334,4.942039708422756,1.7232709043832455,1.571576707718994,no_hand_wash
-9.633817497570094,-1.2954997529906542,0.9517697336448597,4.5882905959540174,1.3305083554246244,1.6152788039664538,no_hand_wash
-7.592254933962264,-1.9273374110377357,4.868464141509434,3.8187872448511824,2.345583279199908,2.656550544500844,no_hand_wash
-3.665720217524752,-6.058835231039604,5.08659558360396,2.101165514593449,3.0652471562989447,2.1098353625242976,no_hand_wash
-6.159769880660378,-6.4638033195471705,3.1901843993330186,3.694623953871568,3.485660118241818,2.4511708672408066,no_hand_wash
-6.389097432149533,-3.7604829281588783,5.696610355261683,2.732495358868392,3.0898922270233866,3.0309710839281867,no_hand_wash
-3.835527611308412,1.7086270650813082,8.67138789186916,1.7109456254220894,1.2976233940055626,2.745508791009527,no_hand_wash
-4.872417621121495,-2.6215550882616823,8.376359979626168,1.4393550581328085,1.6064236652045327,2.4280359323307925,no_hand_wash
-8.160950986407768,-1.6851540963689322,4.4337205037475735,2.8092131931548003,2.123935691390512,1.50254581555379,no_hand_wash
-9.206993524112148,-0.954274677862617,3.042624986635514,3.0693155504306144,0.6023713945257746,1.5611804888266858,no_hand_wash
-8.688144875566039,-0.5347952505754717,2.742718810566038,4.498235291966568,0.7035684642032562,1.2703059201151776,no_hand_wash
-8.648919111300925,-0.4464620786111111,2.532203757407407,4.438936038932113,0.7127540699008312,1.0319084450961853,no_hand_wash
-9.249566951869157,-0.16607002411495328,2.133149574224299,4.823673917276068,0.9212579617884726,1.254111835968569,no_hand_wash
-9.578966208093457,-0.3744142840654205,1.7972356086542054,4.591907639122937,0.6958336277765892,1.0594227344444034,no_hand_wash
